ID;TRAILNAME;ACTIVITIES;TRAIL_CLASS;MAP_LABEL;ACCESSIBLE;GeoJSON;geo_point_2d
1;Greenwood Park Trail;WALKING, BICYCLING;Park Trail;Greenwood Park Trail;;"{""type"": ""LineString"", ""coordinates"": [[-76.45420056904892, 44.26627387265115], [-76.45358878119754, 44.265905667136614]]}";44.2660897699,-76.4538946751
2;Greenwood Park Trail;WALKING, BICYCLING;Trail-Paved Pathway;Greenwood Park Trail;Yes;"{""type"": ""LineString"", ""coordinates"": [[-76.44608539678256, 44.26462212018488], [-76.44707246879017, 44.26518737459734], [-76.4471084130078, 44.26528063602033], [-76.44795752092567, 44.2657656681972], [-76.44731323460535, 44.26633381832073]]}";44.2654320857,-76.4471942109
3;Oak Street Park Trail;WALKING, BICYCLING;Trail-Paved Pathway;Leroy Grant Trail;Yes;"{""type"": ""LineString"", ""coordinates"": [[-76.50502261939894, 44.24618589709203], [-76.50501957989607, 44.246213705416224], [-76.50501321673967, 44.24624123753832], [-76.50500343357142, 44.24626826714464], [-76.50499031002512, 44.24629457421738], [-76.50497395292491, 44.24631994462008], [-76.50495595987647, 44.24634483904962], [-76.50489079404933, 44.24640564442647], [-76.50486690592204, 44.24643468000632], [-76.50484453190032, 44.24646419869089], [-76.50482570636387, 44.246494954344044], [-76.50481056519153, 44.24652672497784], [-76.50479921766916, 44.24655928127843], [-76.5047917457008, 44.24659238826117], [-76.50478799427857, 44.24662580324161], [-76.50483363527923, 44.2474344790575], [-76.50486001323536, 44.24781479137087], [-76.5049596783261, 44.2492701755823], [-76.5049824663855, 44.24950966106742], [-76.50499004605824, 44.249541526812195], [-76.50500198227881, 44.249572684749744], [-76.50501759428472, 44.24960296968832], [-76.50503676739788, 44.24963215916971], [-76.50505936078207, 44.24966003878237], [-76.50508520847742, 44.249686403736455], [-76.50511412061954, 44.249711060368014], [-76.50514588483409, 44.24973382756159], [-76.50518167001974, 44.24975322912487]]}";44.2479773678,-76.5048981659
4;Lemoine Point Trail;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail;Lemoine Point Trail;;"{""type"": ""LineString"", ""coordinates"": [[-76.60657426473071, 44.220596556533884], [-76.60670262384482, 44.22058320440661], [-76.60861379381546, 44.22050131558359], [-76.6087435372118, 44.22049758213943], [-76.6088212376738, 44.220496487621375], [-76.60889743181664, 44.2205049431079], [-76.60895757709261, 44.22051723846742], [-76.60896315941682, 44.220517882769606], [-76.60897948921348, 44.22052008083981], [-76.60899573582026, 44.220522579881525], [-76.60901188792539, 44.22052537825356], [-76.60902793419264, 44.220528473414724], [-76.6090438645617, 44.220531863706206], [-76.60905966897228, 44.22053554746915], [-76.6090753373395, 44.22053952214478], [-76.60909085707569, 44.220543785209614], [-76.60910622054978, 44.22054833226968], [-76.60912141647452, 44.220553162583755], [-76.60913643471604, 44.22055827179317], [-76.60915126516487, 44.22056365643919], [-76.60916589896306, 44.220569313045495], [-76.60938934638844, 44.220642963301], [-76.6094100484396, 44.22064825796987], [-76.60943093524769, 44.22065316560076], [-76.6096439903013, 44.220655352379914], [-76.6112949333789, 44.220584430685236], [-76.61257820916657, 44.22051391351527], [-76.61436418177132, 44.22041483828568], [-76.61518324586231, 44.2203896081133], [-76.61513514323518, 44.22038488115556], [-76.61519486685393, 44.22039018381477], [-76.61520528993636, 44.22039113207746], [-76.61526880465517, 44.22041663346081], [-76.61545017531526, 44.220508159113535], [-76.61568563209498, 44.220639415094034], [-76.61575944295193, 44.2207294845223], [-76.61575237873643, 44.22073585959418], [-76.61548012476254, 44.22082750338144], [-76.6154602580107, 44.22083519150959], [-76.6154409413751, 44.22084350592418], [-76.61542265532744, 44.22085295868036], [-76.61540553076081, 44.22086348211451], [-76.6153896902543, 44.22087500089899], [-76.61537524719563, 44.22088743258136], [-76.61536230496944, 44.220900688174574], [-76.61535095621726, 44.220914672793974], [-76.61534128217444, 44.220929286336464], [-76.61533262122995, 44.220944255371386], [-76.61532681392482, 44.22100796109283], [-76.61532884273475, 44.2210716866843], [-76.61534114234409, 44.22113469985957], [-76.61536712070838, 44.2212367611014], [-76.6153064232916, 44.221318610192405], [-76.61490437127661, 44.221636345464546], [-76.61483913968296, 44.221681079141746], [-76.61476824369093, 44.22172110845048], [-76.61469233669517, 44.221756064464515], [-76.61418781823443, 44.22196090792871], [-76.61412331138388, 44.22199059393736], [-76.61406088246775, 44.22202224927059], [-76.6140024921056, 44.22205768744295], [-76.61394858833204, 44.22209663653411], [-76.61389958475564, 44.22213879768414], [-76.61385268872176, 44.22218241154828], [-76.61374050611127, 44.22231977450678], [-76.61355301649857, 44.222610653663594], [-76.61351395470568, 44.222649041815856], [-76.61347033061473, 44.22268479893597], [-76.61342248520023, 44.222717645532555], [-76.61337079243405, 44.22274732486354], [-76.61331565636236, 44.22277360494305], [-76.61318109056917, 44.22283752672573], [-76.61304114013865, 44.22289516020975], [-76.61289637252393, 44.22294627170338], [-76.61279770276316, 44.22297416066604], [-76.61269658080674, 44.222997061465776], [-76.61259349364657, 44.22301486381398], [-76.61179620215647, 44.223113063821145], [-76.61145326262107, 44.22317030902712], [-76.61117667756217, 44.223231380650034], [-76.61067174728531, 44.2233554191448], [-76.61015908613332, 44.22346475257422], [-76.6100566944324, 44.22349215841803], [-76.60995831734449, 44.22352633271978], [-76.6098648178515, 44.22356697569934], [-76.60876173251526, 44.22404380791896]]}";44.2215226446,-76.6118331347
5;Lemoine Point Trail;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail;Lemoine Point Trail;;"{""type"": ""LineString"", ""coordinates"": [[-76.60876173251526, 44.22404380791896], [-76.608798102374, 44.22407026154467], [-76.60894146494587, 44.22417271880346], [-76.60907875086282, 44.22427798041643], [-76.60925465419987, 44.22441187572197], [-76.60939202275422, 44.22452963832815], [-76.60947878165896, 44.22461357468432], [-76.60957833053646, 44.22474139796072], [-76.60962824369355, 44.22481037002648], [-76.6097519464557, 44.22497358493686], [-76.60984578310108, 44.225104466694454], [-76.60992713875694, 44.225233142102816], [-76.60999127151038, 44.2253376439675], [-76.6100620430891, 44.225473019097976], [-76.61010564266823, 44.22555339498701], [-76.6101608483955, 44.22566457322352], [-76.610212352485, 44.225791883069306], [-76.61024610011711, 44.22587537511094], [-76.61026764976366, 44.22591774393437], [-76.61028291061731, 44.22596998953957], [-76.61029745445195, 44.22600934658158], [-76.61032560677579, 44.22608406118798], [-76.61037733277273, 44.22625276744714], [-76.61044516850362, 44.22648820489818], [-76.61045107506371, 44.22650870528224], [-76.61049394990779, 44.22664082455159], [-76.61051457075764, 44.22672353738089], [-76.61052481800009, 44.22676464214915], [-76.61054483157302, 44.22692250028265], [-76.61055591749488, 44.22704094831735], [-76.61055815022827, 44.22712281126521], [-76.61056546274793, 44.22724696012004], [-76.61056773186306, 44.22733015590339], [-76.61056452304673, 44.22741582464707], [-76.61057168540083, 44.2274434180341], [-76.61058270401064, 44.227470337376175], [-76.610596873173, 44.227496463708206], [-76.61061409029081, 44.22752160785279], [-76.61063423069717, 44.22754558774443], [-76.61065714855796, 44.227568229747796], [-76.61068426805146, 44.227588285495955], [-76.61106221437501, 44.22782966697047], [-76.61120992507375, 44.227941264245445], [-76.61134466669604, 44.228061047208406], [-76.61146556508234, 44.22818823881661], [-76.61174023127313, 44.22849057548615], [-76.61180180222338, 44.228574611436265], [-76.6118586018921, 44.22866036718912], [-76.61191053753646, 44.22874770275347], [-76.6119232756213, 44.22879225910595], [-76.611935922644, 44.22885393513395], [-76.61194293781077, 44.22899596900966], [-76.61197893447749, 44.229624908866505], [-76.61194958782345, 44.22973004047216], [-76.61190698353184, 44.22983279984704], [-76.61185147909742, 44.229932324566704], [-76.61178354028807, 44.23002777934982], [-76.61170373723742, 44.23011836306872], [-76.6113109660919, 44.230426525435774], [-76.61124529551465, 44.23047524549871], [-76.61110271373467, 44.230593750948614], [-76.61102808800887, 44.23064955476605], [-76.61093453611817, 44.230724265397505], [-76.6108599418653, 44.23078123455429], [-76.61080459131021, 44.230830943183705], [-76.6106705507217, 44.230965635733796], [-76.61009018971441, 44.23154754972528], [-76.61003123446251, 44.231613617804754], [-76.61000169567711, 44.23167079954971], [-76.60997621613708, 44.23172878697498], [-76.60995812994027, 44.23178814767804], [-76.60994758609769, 44.23184839258979], [-76.60994467147941, 44.2319090253562], [-76.60995020600372, 44.23196948263111], [-76.61025578544036, 44.23221330557798], [-76.6103694037367, 44.23220214946816], [-76.61048368272301, 44.23219717211646], [-76.61059801495358, 44.232199761751495], [-76.61071101980998, 44.23221154610298], [-76.61114818663395, 44.23231954368822], [-76.6112133463536, 44.23233690541161], [-76.61127638297616, 44.232357932351825], [-76.61133689843092, 44.23238249172618], [-76.61139451056668, 44.23241042844491], [-76.61153783249569, 44.23249694117301], [-76.61157824329356, 44.232524148603645], [-76.61162374092235, 44.23254691296589], [-76.61167195470996, 44.23256660306865], [-76.61172248909278, 44.23258305736712], [-76.61177544019355, 44.23259493715593], [-76.61213661517323, 44.23264925138164], [-76.61238330432332, 44.23266440786951], [-76.6124331451939, 44.232663776354386], [-76.6124827721763, 44.23266002296764], [-76.61253208563707, 44.23265415231407], [-76.6125914559, 44.23263988324935], [-76.6126493765988, 44.23262290563033], [-76.61270504567987, 44.23260234439644], [-76.61275803189203, 44.23257835882921], [-76.61280792476741, 44.23255113473744], [-76.61285433780131, 44.23252088301778], [-76.61289942725274, 44.232489369090324], [-76.61302810206989, 44.232395521813416], [-76.61308646275258, 44.232354650402925], [-76.6131491258974, 44.23231721658402], [-76.61321570092146, 44.23228345367889], [-76.6132857728617, 44.2322535721288], [-76.61335890496112, 44.23222775818246], [-76.61354320485896, 44.232189587987584]]}";44.229253072,-76.6109829263
6;Centennial Dr Trail;WALKING, BICYCLING, CROSS-COUNTRY SKIING, SNOWSHOEING;Trail-Paved Pathway;Centennial Dr Trail;Yes;"{""type"": ""LineString"", ""coordinates"": [[-76.5643800042127, 44.28003760967199], [-76.5648922880225, 44.28006132019608], [-76.56505298970623, 44.28009142344465], [-76.56567109800028, 44.280068659024764], [-76.56575481458441, 44.28007465785651], [-76.56769924288015, 44.279990814105005], [-76.56781110530208, 44.280007857943836], [-76.5683325309607, 44.27997783100621]]}";44.2800387013,-76.5663559121
7;Cataraqui Estates BP Trail;WALKING, BICYCLING, CROSS-COUNTRY SKIING, SNOWSHOEING;Trail-Paved Pathway;Cataraqui Estates BP Trail;No;"{""type"": ""LineString"", ""coordinates"": [[-76.5643800042127, 44.28003760967199], [-76.56441031174545, 44.27983781188034], [-76.56440644755232, 44.2798303075843], [-76.56440137030413, 44.27982318529091], [-76.56439547507334, 44.27981639999091], [-76.56438880347976, 44.279809999587904], [-76.56438140262425, 44.279804029268185], [-76.56437332475619, 44.279798531181676], [-76.5643646269046, 44.27979354414437], [-76.56435537047557, 44.279789103364315], [-76.56434562081863, 44.27978524019302], [-76.56433544676551, 44.27978198190414], [-76.56432481032708, 44.279779606636794], [-76.56430345237911, 44.2797741854103], [-76.56428318676889, 44.27976690858394], [-76.56426391233295, 44.27975836646505], [-76.56424578005362, 44.279748625966576], [-76.56422893196645, 44.279737763388724], [-76.56421350004746, 44.27972586382127], [-76.56419960517945, 44.279713020477054], [-76.56418735620504, 44.27969933396179], [-76.56417684907404, 44.279684911485994], [-76.56416816609195, 44.2796698660252], [-76.5641613752751, 44.27965431543494], [-76.56415652981802, 44.2796383815276], [-76.56415383734829, 44.27962217798045], [-76.5641287009631, 44.279403705771045], [-76.56412326899904, 44.27937126888809], [-76.5641135676943, 44.279339367838325], [-76.56410002405745, 44.279308222112505], [-76.56408274130972, 44.27927806908413], [-76.56406185116954, 44.279249138560985], [-76.5640375128487, 44.27922165103367], [-76.56400991183884, 44.27919581599517], [-76.56397754332828, 44.27917306692137], [-76.5637463468167, 44.2790234090513], [-76.56372365232632, 44.27900937818855], [-76.56369840679011, 44.278997765209915], [-76.56367183759578, 44.278987775094464], [-76.56364414404898, 44.27897948278184], [-76.56361553388953, 44.278972950475854], [-76.56358622173312, 44.2789682271778], [-76.56355642746138, 44.278965348318934], [-76.56352637457246, 44.27896433549468], [-76.56349627656817, 44.27896508052943], [-76.56338030539249, 44.27896467931639], [-76.56326470685651, 44.27895864540012], [-76.56315057854472, 44.27894480153796], [-76.56305571611918, 44.278929858172106], [-76.5629619872275, 44.27891159242225], [-76.5628696171775, 44.27889004819599], [-76.56283170250074, 44.27888683515266], [-76.56279346247537, 44.27888664780451], [-76.56275533102908, 44.2788890159373], [-76.56271763828093, 44.27889391904919], [-76.56268071055196, 44.27890131469197], [-76.56264435705279, 44.278910281288866], [-76.56254721313898, 44.27894081573131], [-76.56245442074326, 44.27897767961536], [-76.5623667767471, 44.27902055636576], [-76.56223333733567, 44.279122295949456]]}";44.2792070937,-76.5635061429
8;Greenwood Park Trail;WALKING, BICYCLING;Park Trail;Greenwood Park Trail;;"{""type"": ""LineString"", ""coordinates"": [[-76.45584897202625, 44.2639021597748], [-76.4562682870655, 44.264149174683624]]}";44.2640256672,-76.4560586295
9;Waterfront Trail;WALKING, BICYCLING;Trail-Paved Pathway;Waterfront Trail;Yes;"{""type"": ""LineString"", ""coordinates"": [[-76.50643804915975, 44.221205930220066], [-76.50651601088104, 44.22109382471086], [-76.5065656869399, 44.22103377439104], [-76.5066211937685, 44.22097477971925], [-76.50669180982972, 44.220919900870875], [-76.50675942086738, 44.22087786939103], [-76.50687107290355, 44.220803973849094], [-76.50704981180003, 44.22068951195825], [-76.50707681134989, 44.22063526780982], [-76.50712680487989, 44.22051748536099], [-76.50715931681634, 44.22044254961707], [-76.5072558311798, 44.2201314190486], [-76.50725276952639, 44.220100433067415], [-76.5071326431503, 44.219797631646344], [-76.50687924360786, 44.2198336347463], [-76.50669914820605, 44.219805800917705], [-76.50663397181754, 44.219828780361254], [-76.5065418106146, 44.219862363917215], [-76.50644359343846, 44.21989387014027], [-76.50639620538882, 44.21991823177234], [-76.50634909235671, 44.219953379039055], [-76.5062928710487, 44.219984330338754], [-76.50620015809194, 44.219996342332244], [-76.50613471722646, 44.220018784793886], [-76.50607255111228, 44.22005197241623], [-76.50588861096948, 44.22013423885957], [-76.50575255506848, 44.220211558546296], [-76.5056056217583, 44.220310766581456], [-76.50555973238929, 44.22033668274598], [-76.50555189013784, 44.220381466566856], [-76.50562113264273, 44.22047385981852], [-76.50566726941852, 44.220546735571624], [-76.50581978018886, 44.220739456834984], [-76.50599678120875, 44.220957574034635], [-76.50608575368736, 44.22106992683013], [-76.50609155004312, 44.22107547642621], [-76.50609835436224, 44.22108040602425], [-76.50610574050852, 44.22108488197666], [-76.50611365119495, 44.22108886956792], [-76.50612202506622, 44.22109233787023], [-76.50613079717448, 44.22109525998343], [-76.5061398994832, 44.22109761324357], [-76.50614926139482, 44.22109937939876], [-76.50615881029827, 44.22110054475067], [-76.50616847502731, 44.221101053462064], [-76.5061958863023, 44.221099964247], [-76.50622330201591, 44.22110044599243], [-76.50625053410322, 44.22110264408464], [-76.50627737560166, 44.22110654181823], [-76.50630362251714, 44.22111210957062], [-76.50632907537432, 44.22111930502715], [-76.50635354073273, 44.221128073502705], [-76.50637608515706, 44.22113913894221], [-76.50639049374311, 44.22114791689882], [-76.50640304406245, 44.22115808399949], [-76.50641421297759, 44.221169056300255], [-76.50642390337053, 44.22118073839275], [-76.5064320309796, 44.22119302869672], [-76.50643804915975, 44.221205930220066]]}";44.2204302864,-76.5064563265
10;Little Cataraqui Creek CA Trails;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail;Little Cataraqui Creek CA Trails;No;"{""type"": ""LineString"", ""coordinates"": [[-76.50987176199384, 44.28568522260453], [-76.5098628372517, 44.285697278735846], [-76.5098552616908, 44.28570980222243], [-76.50984908235023, 44.2857227153034], [-76.50984433759972, 44.285735937798755], [-76.5098410569014, 44.28574938760724], [-76.50984456468298, 44.28613720287671], [-76.51002732434472, 44.28624560419015], [-76.51011109615958, 44.28625373178259], [-76.51021473641168, 44.28628468290898], [-76.51023507398156, 44.2862980718373], [-76.51025261397795, 44.28631339528581], [-76.51026816544986, 44.28632979537027], [-76.51028160411254, 44.28634714102399], [-76.51029282256648, 44.28636529362346], [-76.51030173115574, 44.28638410809618], [-76.51030777228, 44.28640350545694], [-76.51029145266021, 44.286519155600544], [-76.51024748957836, 44.28664737032611], [-76.51017421034254, 44.286708067765225], [-76.5101557569192, 44.28672601657988], [-76.5101382772593, 44.28674436498146], [-76.51012306630348, 44.28676372018192], [-76.5101102388517, 44.28678393610396], [-76.51009989171511, 44.28680486017421], [-76.51009210298551, 44.286826334474796], [-76.5100869314459, 44.28684819693515], [-76.51008441612684, 44.2868702825552], [-76.51008469940093, 44.286892419545474], [-76.51012109038874, 44.28697915603894], [-76.51016864425759, 44.287063058992786], [-76.5102269419508, 44.28714338895155], [-76.51026601165158, 44.28720196203718], [-76.51029454819842, 44.28726371124118], [-76.51031562759114, 44.28732703165329], [-76.51032909612614, 44.28739146156311], [-76.51033474828682, 44.28745653345769], [-76.51045164854074, 44.28760391662709], [-76.5105755043836, 44.287748338842], [-76.51070617067244, 44.287889630800535], [-76.51072755423912, 44.287907173551254], [-76.51075210665549, 44.287922452799634], [-76.51077835709346, 44.28793620394113], [-76.51080612447439, 44.2879483321187], [-76.5108352172555, 44.28795875367073], [-76.51086543475132, 44.28796739670808], [-76.51089656851788, 44.28797420161005], [-76.51092840379073, 44.28797912143558], [-76.5109607601894, 44.2879818284673], [-76.5109855990548, 44.287975190732126], [-76.51100978977558, 44.28796746160009], [-76.5110329647124, 44.287958246222146], [-76.51105494588283, 44.28794761537195], [-76.51107556447256, 44.28793565069391], [-76.51109466213181, 44.2879224440762], [-76.51111209219147, 44.287908096945], [-76.51112772078949, 44.2878927194856], [-76.51114142789902, 44.28787642979614], [-76.5111531082501, 44.28785935298066], [-76.5111626721382, 44.28784162018829], [-76.51117004611311, 44.28782336760601], [-76.51117517354307, 44.28780473541279], [-76.51117801504964, 44.28778586670298], [-76.5111785488102, 44.28776690638737], [-76.51117650109605, 44.28774802345186], [-76.51115199619912, 44.28770599622048], [-76.51113480914697, 44.28766205230746], [-76.51112289772365, 44.28761718403122], [-76.51111634821412, 44.28757171641218], [-76.51111520806224, 44.287525978812326], [-76.5111194855271, 44.287480302549355], [-76.5111291496233, 44.28743501849665], [-76.51114237720958, 44.28739010357595], [-76.5111575400713, 44.28737788678983], [-76.5111720264467, 44.287365327796465], [-76.51118495159784, 44.28735192199889], [-76.51119621788135, 44.287337770671506], [-76.51120574018584, 44.28732298072082], [-76.51121344657487, 44.28730766387785], [-76.51121927883034, 44.28729193585402], [-76.51122319289233, 44.28727591546704], [-76.51122515919201, 44.28725972374328], [-76.5112251628749, 44.28724348300348], [-76.51122320391316, 44.287227315938665], [-76.51121929710585, 44.287211344683286], [-76.51121347196701, 44.28719568989255], [-76.51120577250279, 44.28718046983092], [-76.51119625687896, 44.28716579947869], [-76.5111849969815, 44.28715178966336], [-76.51117207787357, 44.287138546222394], [-76.51115759715286, 44.28712616920366], [-76.51114087435032, 44.28711537255106], [-76.51109310519978, 44.28711445210713], [-76.51104568554418, 44.28711041546814], [-76.51099899539125, 44.28710334647343], [-76.51095340837031, 44.28709330169132], [-76.51090928928309, 44.287080361503335], [-76.51086699118447, 44.28706462946094], [-76.51082685255716, 44.287046231456905], [-76.51078919460312, 44.28702531471786], [-76.51075431867321, 44.28700204662615], [-76.51072431115614, 44.28697554414956], [-76.51068157012165, 44.28693082045503], [-76.51064435028071, 44.28688361869066], [-76.51061292822457, 44.28683428964314], [-76.51058753745559, 44.286783199907475], [-76.51056836665222, 44.286730729162535], [-76.5105756203481, 44.2867091654616], [-76.51058484325337, 44.286688004884766], [-76.5105965406353, 44.28666747160905], [-76.5106106270076, 44.28664771569487], [-76.5106269994248, 44.28662888152156], [-76.51064553823473, 44.28661110673223], [-76.51066610795282, 44.286594521227855], [-76.51068855825234, 44.286579246217904], [-76.51071272506294, 44.28656539333457], [-76.51073843176977, 44.28655306381691], [-76.51076549050416, 44.28654234777098], [-76.51079333485045, 44.2865326400149], [-76.51083353363963, 44.28653565574516], [-76.51087401132928, 44.28653566724184], [-76.51091436802844, 44.28653314562187], [-76.5109542971184, 44.2865281100438], [-76.51099349522926, 44.286520598766515], [-76.51103166454492, 44.28651066885858], [-76.51106851506576, 44.28649839576461], [-76.51110376681198, 44.286483872732084], [-76.51113715195085, 44.28646721010288], [-76.51116841683155, 44.28644853447491], [-76.5111973239124, 44.2864279877403], [-76.51122365356562, 44.2864057260073], [-76.511247205746, 44.286381918414236], [-76.51126780151074, 44.28635674584444], [-76.51128528437907, 44.28633039955192], [-76.51129952152114, 44.286303079708354], [-76.51131040476719, 44.28627499388214], [-76.51131785142938, 44.286246355461394], [-76.51132180493012, 44.28621738203272], [-76.51132223523183, 44.28618829372798], [-76.51131868789994, 44.28615935358147], [-76.51131428215805, 44.286126371503876], [-76.51130571744629, 44.28609383384653], [-76.51129328640852, 44.2860619704056], [-76.51127708102588, 44.28603101694868], [-76.5112572212071, 44.28600120251009], [-76.5112338539012, 44.285972747696235], [-76.5112071520102, 44.2859458630532], [-76.51117731310977, 44.28592074750889], [-76.51114294027273, 44.285898873343], [-76.51108579046922, 44.28584669588304], [-76.51103438815815, 44.2857915195838], [-76.51098903697523, 44.285733670391515], [-76.51094293812542, 44.28571943106168], [-76.51089465901455, 44.28570938700738], [-76.51084536508884, 44.285702215332236], [-76.51079538523884, 44.285697963885866], [-76.51074505293155, 44.28569666103405], [-76.51069470398566, 44.28569831546946], [-76.51064455652445, 44.28570239023758], [-76.51061454335387, 44.28569886103016], [-76.51058522463951, 44.28569307451265], [-76.51055676400456, 44.28568542779456], [-76.51052938817448, 44.28567598179181], [-76.51050331523285, 44.28566481175393], [-76.51047875288411, 44.2856520066646], [-76.51045589679885, 44.28563766853277], [-76.51043492905512, 44.285621911580066], [-76.51041601668788, 44.28560486133081], [-76.51040044824136, 44.285586161112896], [-76.51026436330521, 44.28546212890427]]}";44.286726008,-76.5106528394
